time,Activity,Steps,HR,Inclinometer
10:39,3.0,61,108.96078431372548,1
10:40,3.0,91,112.15686274509804,1
10:41,3.0,23,114.95833333333331,1
10:42,3.0,55,119.4375,1
10:43,3.0,77,120.75,1
10:44,3.0,59,118.22916666666669,1
10:45,3.0,23,120.05555555555556,1
10:46,2.0,16,117.95833333333331,1
10:47,2.0,21,107.61702127659576,1
10:48,2.0,14,103.22916666666669,1
10:49,2.0,18,101.54166666666669,1
10:50,2.0,13,98.94117647058825,1
10:51,2.0,7,94.98039215686276,2
10:52,2.0,14,96.58333333333331,2
10:53,2.0,17,96.89583333333331,1
10:54,2.0,8,95.91666666666669,2
10:55,2.0,10,97.4375,1
10:56,2.0,8,95.77777777777776,1
10:57,2.0,10,98.91489361702128,2
10:58,2.0,11,96.97777777777776,1
10:59,2.0,8,96.79166666666669,1
11:00,2.0,16,98.20833333333331,1
11:01,2.0,23,100.51851851851852,1
11:02,2.0,11,101.97872340425532,1
11:03,2.0,26,99.36170212765956,1
11:04,2.0,31,106.375,1
11:10,7.0,9,99.10416666666669,2
11:11,7.0,9,92.3125,2
11:12,7.0,1,88.11111111111111,2
11:13,7.0,4,89.85416666666667,2
11:14,7.0,1,89.375,3
11:15,7.0,2,86.72916666666667,2
11:16,7.0,1,87.14583333333333,2
11:17,7.0,3,87.70588235294117,2
11:18,7.0,6,90.3921568627451,2
11:19,7.0,2,89.83333333333333,2
11:20,7.0,0,90.77083333333331,2
11:21,7.0,3,87.25,2
11:22,7.0,6,96.04166666666669,2
11:23,7.0,5,79.35185185185185,3
11:24,7.0,5,87.45833333333333,2
11:25,7.0,0,82.0,2
11:26,7.0,0,90.64583333333331,2
11:27,7.0,0,96.80434782608695,2
11:28,7.0,2,90.41176470588236,2
11:29,7.0,2,97.86666666666666,2
11:30,7.0,1,95.14583333333331,2
11:31,7.0,1,95.15217391304348,2
11:32,7.0,2,98.95833333333331,2
11:33,7.0,6,98.9423076923077,2
11:34,7.0,6,98.04347826086956,2
11:35,7.0,2,102.86363636363636,2
11:36,7.0,3,96.8695652173913,2
11:37,7.0,1,99.69565217391305,2
11:38,7.0,12,90.6122448979592,1
11:39,7.0,0,92.20588235294116,2
11:40,7.0,7,96.7,2
11:41,7.0,3,90.89795918367346,2
11:42,7.0,3,110.6842105263158,2
11:43,7.0,1,92.19565217391305,2
11:44,7.0,2,99.14,2
11:45,7.0,5,111.83333333333331,2
11:46,7.0,2,91.7391304347826,2
11:47,7.0,6,90.875,2
11:48,7.0,2,85.08333333333333,2
11:49,7.0,1,87.79245283018868,2
11:50,7.0,1,91.6938775510204,2
11:51,7.0,2,103.60416666666669,2
11:52,7.0,6,93.75,2
11:53,7.0,8,81.5909090909091,2
11:54,7.0,4,91.28,2
11:55,7.0,1,90.32692307692308,2
11:56,7.0,1,90.375,2
11:57,7.0,7,91.1063829787234,2
11:58,7.0,8,93.625,2
11:59,7.0,5,94.875,2
12:00,7.0,10,91.65384615384616,2
12:01,7.0,18,98.94,1
12:02,7.0,13,109.95833333333331,1
12:03,7.0,7,109.45833333333331,2
12:04,7.0,11,109.91666666666669,2
12:05,7.0,19,108.95918367346938,1
12:06,7.0,3,98.0377358490566,2
12:07,7.0,1,105.94871794871794,2
12:08,7.0,2,102.12765957446808,2
12:09,7.0,2,94.84782608695652,2
12:10,7.0,0,108.87755102040816,2
12:11,7.0,2,97.27083333333331,2
12:12,7.0,0,105.76595744680851,2
12:13,7.0,2,106.46341463414636,2
12:14,7.0,2,100.83333333333331,2
12:15,7.0,6,98.24528301886792,2
12:16,7.0,1,109.95744680851064,2
12:17,7.0,2,102.97916666666669,2
12:18,7.0,2,96.02083333333331,2
12:19,7.0,1,96.91111111111113,2
12:20,7.0,5,104.1346153846154,2
12:21,7.0,2,103.48979591836736,2
12:22,7.0,4,91.52083333333331,2
12:23,7.0,4,91.22916666666669,3
12:24,7.0,2,93.97916666666669,2
12:25,7.0,4,99.9375,2
12:26,7.0,5,92.83333333333331,2
